"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Fusobacterium" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriaceae" "Fusobacterium" "NA"
"Gallicola" "Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Peptoniphilaceae" "Gallicola" "NA"
"Gardnerella" "Bacteria" "Actinobacteria" "Actinobacteria" "Bifidobacteriales" "Bifidobacteriaceae" "Gardnerella" "NA"
"Gemella" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales incertae sedis" "Gemella" "NA"
"Gordonia" "Bacteria" "Actinobacteria" "Actinobacteria" "Corynebacteriales" "Gordoniaceae" "Gordonia" "NA"
"Gp8" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"GpI" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"GpIX" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Granulicatella" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Carnobacteriaceae" "Granulicatella" "NA"
"Haemophilus" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Haemophilus" "NA"
"Helcococcus" "Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Peptoniphilaceae" "Helcococcus" "NA"
"Incertae_sedis_5_2" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Incertae_sedis_5_1" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Janibacter" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Janibacter" "NA"
"Janthinobacterium" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Janthinobacterium" "NA"
"Jeotgalicoccus" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Jeotgalicoccus" "NA"
"Klebsiella" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Klebsiella" "NA"
"Kocuria" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Kocuria" "NA"
"L. crispatus" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"L. gasseri" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"L. iners" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"L. jensenii" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"L. vaginalis" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "NA" "NA"
"Lachnospiraceae_8" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_Incertae_Sedis" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_7" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_4" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_9" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_6" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_2" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_1" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_5" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lachnospiraceae_3" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "NA" "NA"
"Lactobacillales_2" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "NA" "NA" "NA"
"Lactobacillales_5" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "NA" "NA" "NA"
"Lactobacillales_6" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "NA" "NA" "NA"
"Lactobacillales_7" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "NA" "NA" "NA"
"Lactobacillales_1" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "NA" "NA" "NA"
"Lactobacillus_1" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"Lactobacillus_4" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"Lactobacillus_2" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"Lactobacillus_3" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "NA"
"Lactococcus" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Lactococcus" "NA"
"Leptotrichia" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Leptotrichiaceae" "Leptotrichia" "NA"
"Luteococcus" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Propionibacteriaceae" "Luteococcus" "NA"
"Megamonas" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Selenomonadaceae" "Megamonas" "NA"
"Megasphaera" "Bacteria" "Firmicutes" "Negativicutes" "Veillonellales" "Veillonellaceae" "Megasphaera" "NA"
"Methylobacterium" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" "NA"
"Methylovorus" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "Methylophilaceae" "Methylovorus" "NA"
"Microbacteriaceae_1" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "NA" "NA"
"Microbacterium" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Microbacteriaceae" "Microbacterium" "NA"
"Micrococcus" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Micrococcus" "NA"
"Mobiluncus" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetaceae" "Mobiluncus" "NA"
"Moryella" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Moryella" "NA"
"Mycoplasmataceae_1" "Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "NA" "NA"
"Neisseria" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Neisseria" "NA"
"Neisseriaceae_1" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "NA" "NA"
"Novosphingobium" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "NA"
"OD1_genera_incertae_sedis" "Bacteria" "NA" "NA" "NA" "NA" "NA" "NA"
"Oerskovia" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Cellulomonadaceae" "Oerskovia" "NA"
"Paenibacillus" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Paenibacillaceae" "Paenibacillus" "NA"
"Pantoea" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Erwiniaceae" "Pantoea" "NA"
"Parabacteroides" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Parabacteroides" "NA"
"Parvimonas" "Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Peptoniphilaceae" "Parvimonas" "NA"
"Pasteurella" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pasteurellales" "Pasteurellaceae" "Pasteurella" "NA"
"Patulibacter" "Bacteria" "Actinobacteria" "Thermoleophilia" "Solirubrobacterales" "Patulibacteraceae" "Patulibacter" "NA"
"Peptococcus" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptococcaceae" "Peptococcus" "NA"
